Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
21.8,1.032,1,0.0742435,7.2552e-05,3_ActiveReload
21.9,1.034,1,0.0755624,7.70897e-05,3_ActiveReload
22,1.036,1,0.0768923,8.1628e-05,3_ActiveReload
22.1,1.038,1,0.0782338,8.61669e-05,3_ActiveReload
22.2,1.04,1,0.0795871,9.07065e-05,3_ActiveReload
22.3,1.042,1,0.0809525,9.52467e-05,3_ActiveReload
22.4,1.044,1,0.0823305,9.97876e-05,3_ActiveReload
22.5,1.046,1,0.0837214,0.000104329,3_ActiveReload
22.6,1.048,1,0.0851256,0.000108872,3_ActiveReload
22.7,1.05,1,0.0865435,0.000113415,3_ActiveReload
22.8,1.052,1,0.0879753,0.000117959,3_ActiveReload
22.9,1.054,1,0.0894216,0.000122504,3_ActiveReload
23,1.056,1,0.0908826,0.00012705,3_ActiveReload
23.1,1.058,1,0.0923587,0.000131596,3_ActiveReload
23.2,1.06,1,0.0938503,0.000136144,3_ActiveReload
23.3,1.062,1,0.0953578,0.000140693,3_ActiveReload
23.4,1.064,1,0.0968814,0.000145242,3_ActiveReload
23.5,1.066,1,0.0984217,0.000149793,3_ActiveReload
23.6,1.068,1,0.0999788,0.000154344,3_ActiveReload
23.7,1.07,1,0.101553,0.000158897,3_ActiveReload
23.8,1.072,1,0.103145,0.000163451,3_ActiveReload
23.9,1.074,1,0.104755,0.000168006,3_ActiveReload
24,1.076,1,0.106383,0.000172562,3_ActiveReload
24.1,1.078,1,0.10803,0.00017712,3_ActiveReload
24.2,1.08,1,0.109696,0.000181678,3_ActiveReload
24.3,1.082,1,0.111381,0.000186238,3_ActiveReload
24.4,1.084,1,0.113085,0.000190799,3_ActiveReload
24.5,1.086,1,0.114809,0.000195361,3_ActiveReload
24.6,1.088,1,0.116553,0.000199925,3_ActiveReload
24.7,1.09,1,0.118317,0.00020449,3_ActiveReload
24.8,1.092,1,0.120102,0.000209057,3_ActiveReload
24.9,1.094,1,0.121907,0.000213625,3_ActiveReload
25,1.096,1,0.123733,0.000218194,3_ActiveReload
25.1,1.098,1,0.12558,0.000222765,3_ActiveReload
25.2,1.1,1,0.127448,0.000227337,3_ActiveReload
25.3,1.102,1,0.129337,0.000231911,3_ActiveReload
25.4,1.104,1,0.131248,0.000236486,3_ActiveReload
25.5,1.106,1,0.13318,0.000241063,3_ActiveReload
25.6,1.108,1,0.135133,0.000245641,3_ActiveReload
25.7,1.11,1,0.137108,0.000250221,3_ActiveReload
25.8,1.112,1,0.139104,0.000254803,3_ActiveReload
25.9,1.114,1,0.141121,0.000259386,3_ActiveReload
26,1.116,1,0.14316,0.000263971,3_ActiveReload
26.1,1.118,1,0.145219,0.000268557,3_ActiveReload
26.2,1.12,1,0.1473,0.000273146,3_ActiveReload
26.3,1.122,1,0.149401,0.000277736,3_ActiveReload
26.4,1.124,1,0.151523,0.000282328,3_ActiveReload
26.5,1.126,1,0.153665,0.000286921,3_ActiveReload
26.6,1.128,1,0.155827,0.000291517,3_ActiveReload
26.7,1.13,1,0.158009,0.000296114,3_ActiveReload
